folder,path,file,type,pages,text_chars,method
OBC OLD,/home/mhbook/Downloads/OBC OLD/1905-BCW 81 A.pdf,1905-BCW 81 A.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/2019-BCW_98 B[.pdf,2019-BCW_98 B[.pdf,pdf,1,2764,text-extracted
OBC OLD,/home/mhbook/Downloads/OBC OLD/2020-BCW 99B .pdf,2020-BCW 99B .pdf,pdf,1,2739,text-extracted
OBC OLD,"/home/mhbook/Downloads/OBC OLD/2102-BCW BCA 76-78,BC B 86-88.pdf","2102-BCW BCA 76-78,BC B 86-88.pdf",pdf,1,0,visual-needed
OBC OLD,"/home/mhbook/Downloads/OBC OLD/2770-BCW BCA 66-75,BC B 79-84.pdf","2770-BCW BCA 66-75,BC B 79-84.pdf",pdf,2,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/2896_PN_O_I_1S-5_2012.pdf,2896_PN_O_I_1S-5_2012.pdf,pdf,7,13689,text-extracted
OBC OLD,/home/mhbook/Downloads/OBC OLD/3182-BCW AMMENDMENT SL 11 BC B.pdf,3182-BCW AMMENDMENT SL 11 BC B.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/3230-BCW.pdf,3230-BCW.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/3231-BCW.pdf,3231-BCW.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/4144-BCW 95 B .pdf,4144-BCW 95 B .pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/4282-BCW  Incl BC B 94 SL.pdf,4282-BCW  Incl BC B 94 SL.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/4283-BCW BC B 93 KOTAL MUSLIM.pdf,4283-BCW BC B 93 KOTAL MUSLIM.pdf,pdf,1,0,visual-needed
OBC OLD,"/home/mhbook/Downloads/OBC OLD/468-BCW79-80A , 89-91 B.pdf","468-BCW79-80A , 89-91 B.pdf",pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/6309-BCW24-09-10 BCA 56 BCB 52.pdf,6309-BCW24-09-10 BCA 56 BCB 52.pdf,pdf,3,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/6312-BCW reservation policy 2010.pdf,6312-BCW reservation policy 2010.pdf,pdf,1,3720,text-extracted
OBC OLD,/home/mhbook/Downloads/OBC OLD/762-bcw_01-03-13  ammendment 1673.pdf,762-bcw_01-03-13  ammendment 1673.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/773-BCW BC B 92 kaji muslim.pdf,773-BCW BC B 92 kaji muslim.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/845-BCW Incl shaikh 2012.pdf,845-BCW Incl shaikh 2012.pdf,pdf,1,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/Backward-Class-Other-than-SC-ST-Reservation (1) (1).pdf,Backward-Class-Other-than-SC-ST-Reservation (1) (1).pdf,pdf,15,0,visual-needed
OBC OLD,/home/mhbook/Downloads/OBC OLD/SBCW-165 97 B.pdf,SBCW-165 97 B.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Hearing for Notice  02.05.2025.pdf,Hearing for Notice  02.05.2025.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Hearing for Notice  03.05.2025.pdf,Hearing for Notice  03.05.2025.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Hearing for Notice  04.05.2025.pdf,Hearing for Notice  04.05.2025.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Hearing for Notice  30.04.2025.pdf,Hearing for Notice  30.04.2025.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Newspaper Advertisement 13.05.2025.pdf,Newspaper Advertisement 13.05.2025.pdf,pdf,1,799,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/Newspaper Advertisement in English.pdf,Newspaper Advertisement in English.pdf,pdf,1,0,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/OBC 29.04.2025.pdf,OBC 29.04.2025.pdf,pdf,1,793,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.54 (1).jpeg,WhatsApp Image 2025-10-26 at 23.57.54 (1).jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.54.jpeg,WhatsApp Image 2025-10-26 at 23.57.54.jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.55 (1).jpeg,WhatsApp Image 2025-10-26 at 23.57.55 (1).jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.55.jpeg,WhatsApp Image 2025-10-26 at 23.57.55.jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.56 (1).jpeg,WhatsApp Image 2025-10-26 at 23.57.56 (1).jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.56.jpeg,WhatsApp Image 2025-10-26 at 23.57.56.jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.57.jpeg,WhatsApp Image 2025-10-26 at 23.57.57.jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.58 (1).jpeg,WhatsApp Image 2025-10-26 at 23.57.58 (1).jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/WhatsApp Image 2025-10-26 at 23.57.58.jpeg,WhatsApp Image 2025-10-26 at 23.57.58.jpeg,image,,,visual-needed
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement 14.05.2025.pdf,newspaper advertisement 14.05.2025.pdf,pdf,1,825,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement 24.05.2025.pdf,newspaper advertisement 24.05.2025.pdf,pdf,1,909,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement for 18.05.25.pdf,newspaper advertisement for 18.05.25.pdf,pdf,1,975,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part10 19.5.25.pdf,newspaper advertisement part10 19.5.25.pdf,pdf,1,1006,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part11 20.5.25.pdf,newspaper advertisement part11 20.5.25.pdf,pdf,1,1028,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part11.pdf,newspaper advertisement part11.pdf,pdf,1,1028,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part12 21.5.25.pdf,newspaper advertisement part12 21.5.25.pdf,pdf,1,990,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part13 22.5.25.pdf,newspaper advertisement part13 22.5.25.pdf,pdf,1,981,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part14 23.5.25.pdf,newspaper advertisement part14 23.5.25.pdf,pdf,1,943,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part8.docx 15.5.25.pdf,newspaper advertisement part8.docx 15.5.25.pdf,pdf,1,831,text-extracted
PUBLIC HEARING,/home/mhbook/Downloads/PUBLIC HEARING/newspaper advertisement part9 16.5.25.pdf,newspaper advertisement part9 16.5.25.pdf,pdf,1,947,text-extracted
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/1204-SBCW (1).pdf,1204-SBCW (1).pdf,pdf,11,13740,text-extracted
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/2252-BCW (1).pdf,2252-BCW (1).pdf,pdf,1,0,visual-needed
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/3376-BCW (1).pdf,3376-BCW (1).pdf,pdf,1,0,visual-needed
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/921-BCW (1).pdf,921-BCW (1).pdf,pdf,1,0,visual-needed
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/960-BCW (1).pdf,960-BCW (1).pdf,pdf,1,0,visual-needed
Document needed for Cast certificate Issue,/home/mhbook/Downloads/Document needed for Cast certificate Issue/BCW-503776 (1) (1).pdf,BCW-503776 (1) (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/1152-L (1).pdf,1152-L (1).pdf,pdf,2,5701,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/182-BCW (1).pdf,182-BCW (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/2205-BCW (1).pdf,2205-BCW (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/2976-BCW (1).pdf,2976-BCW (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/3024-BCW (1).pdf,3024-BCW (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/325-PAR EWS.pdf,325-PAR EWS.pdf,pdf,11,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/3755-BCW (1).pdf,3755-BCW (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/3869-BCW (1).pdf,3869-BCW (1).pdf,pdf,3,2984,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/4977-BCW (1).pdf,4977-BCW (1).pdf,pdf,2,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/6316-BCW (1).pdf,6316-BCW (1).pdf,pdf,2,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/959-BCW (1).pdf,959-BCW (1).pdf,pdf,6,9415,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/959-BCW modification EWS GUIDELINES.pdf,959-BCW modification EWS GUIDELINES.pdf,pdf,6,9415,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/BCW-15011 (1).pdf,BCW-15011 (1).pdf,pdf,1,0,visual-needed
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/Reservation_SC_ST_Act (1).pdf,Reservation_SC_ST_Act (1).pdf,pdf,15,39383,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/Reservation_SC_ST_Act.pdf,Reservation_SC_ST_Act.pdf,pdf,15,39383,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/SCST-Identification-Act-1994 (1).pdf,SCST-Identification-Act-1994 (1).pdf,pdf,6,17680,text-extracted
BCW department orders and Notification,/home/mhbook/Downloads/BCW department orders and Notification/SCST-Identification-Act-1994.pdf,SCST-Identification-Act-1994.pdf,pdf,6,17680,text-extracted
Downloaded source bundle,obc_pdfs/1993-2010_Official-Combined-OBC-Orders-and-Notifications.pdf,1993-2010 Official Combined OBC Orders and Notifications,pdf,44,0,official-download
Litigation records,case_pdfs/2024-05-22_Calcutta-High-Court_Amal-Chandra-Das-WPO-60-2011_judgment.pdf,Amal Chandra Das WPO 60 of 2011 judgment,pdf,211,0,mirror-download-verification-needed
Litigation records,case_pdfs/2024-11-22_Supreme-Court_SLP-C-17751-17755-2024_order.pdf,State of West Bengal v Amal Chandra Das Supreme Court order,pdf,4,0,official-download
Litigation records,case_pdfs/2025-07-18_Supreme-Court_SLP-C-17528-2025_office-report.pdf,State of West Bengal v Amal Chandra Das Supreme Court office report,pdf,3,0,official-download
Litigation records,case_pdfs/2024-07-28_Supreme-Court_SLP-C-16936-2024_Aatmadeep_paper-book.pdf,Aatmadeep Supreme Court SLP paper book,pdf,39,0,party-filing-context-only
Litigation records,case_pdfs/2025-06-17_Calcutta-High-Court_WPA-P-111-119-132-2025_benchmark-survey_order.pdf,Benchmark survey High Court order,pdf,13,0,local-source-copy
Litigation records,case_pdfs/2025-07-28_Supreme-Court_SLP-C-17422-17528-17973-17974-2025_stay_order.pdf,Supreme Court interim stay order,pdf,3,0,local-source-copy
Litigation records,case_pdfs/2025-08-07_Calcutta-High-Court_CPAN-1362-1365-2025_JEMAS_contempt_order.pdf,JEMAS PG contempt High Court order,pdf,12,0,local-source-copy
Litigation records,case_pdfs/2026-07-01_Calcutta-High-Court_WPA-14695-2026_Bistriti-Parveen_order.pdf,Bistriti Parveen High Court order,pdf,4,0,local-source-copy
Litigation records,case_pdfs/2026-07-01_Calcutta-High-Court_WPA-14698-2026_Yasin-Chowdhury_order.pdf,Yasin Chowdhury High Court order,pdf,4,0,local-source-copy
